Id,Diagnosis Source,Latitude,Longitude,Region,Country,Admin1,Locality Name,Locality Quality,Observation Date,Reporting Date,Status,Disease,Serotypes,Species Description,SumAtRisk,SumCases,SumDeaths,SumDestroyed,SumSlaughtered,HumansAffected,HumansDeaths
187642,OIE,38.598000,16.223400,Europe,Italy,Calabria,Soriano Calabro,Centroid Admin2,14/01/2014,18/07/2014,Confirmed,Bluetongue,1,"domestic, cattle",5,5,0,0,,,
183257,OIE,38.201130,15.673560,Europe,Italy,Calabria,Reggio Calabria,Centroid Admin2,21/01/2014,07/03/2014,Confirmed,Bluetongue,null,"domestic, cattle",11,1,0,0,,,
182765,OIE,41.711700,12.550150,Europe,Italy,Lazio,Roma,Centroid Admin2,22/01/2014,04/02/2014,Confirmed,Bluetongue,null,"domestic, cattle",12,1,0,0,,,
182764,OIE,41.506200,13.266700,Europe,Italy,Lazio,Prossedi,Centroid Admin2,22/01/2014,04/02/2014,Confirmed,Bluetongue,null,"domestic, buffaloe",39,1,0,0,,,
183259,OIE,40.367500,15.047520,Europe,Italy,Campania,Ogliastro Cilento,Centroid Admin2,29/01/2014,07/03/2014,Confirmed,Bluetongue,null,"domestic, buffaloe",17,3,0,0,,,
183258,OIE,41.352880,13.356230,Europe,Italy,Lazio,Monte San biagio,Centroid Admin2,29/01/2014,07/03/2014,Confirmed,Bluetongue,null,"domestic, cattle",25,4,0,0,,,
183262,OIE,40.689496,14.925651,Europe,Italy,Campania,Giffoni valle piana,Centroid Admin1,14/02/2014,07/03/2014,Confirmed,Bluetongue,null,"domestic, cattle",10,1,0,0,,,
183261,OIE,40.676712,14.891734,Europe,Italy,Campania,Giffoni valle piana,Centroid Admin2,14/02/2014,07/03/2014,Confirmed,Bluetongue,null,"domestic, cattle",20,2,0,0,,,
184816,OIE,38.131250,16.115778,Europe,Italy,Calabria,San Luca,Centroid Admin2,24/02/2014,05/05/2014,Confirmed,Bluetongue,null,"domestic, cattle",3,1,0,0,,,
183260,OIE,42.365668,11.911566,Europe,Italy,Lazio,Monte romano,Centroid Admin2,03/03/2014,07/03/2014,Confirmed,Bluetongue,null,"domestic, sheep",450,1,0,0,,,
183263,OIE,39.189550,16.846120,Europe,Italy,Calabria,Caccuri,Centroid Admin2,05/03/2014,07/03/2014,Confirmed,Bluetongue,null,"domestic, cattle",45,1,0,0,,,
184817,OIE,38.579060,16.148140,Europe,Italy,Calabria,Dinami,Centroid Admin2,18/03/2014,05/05/2014,Confirmed,Bluetongue,null,"domestic, cattle",2,1,0,0,,,
191370,OIE,45.070400,17.174100,Europe,Bosnia and Herzegovina,Republika Srpska,Quarantine,Exact,30/04/2014,19/09/2014,Confirmed,Bluetongue,Not specified,"domestic, cattle",150,3,0,0,0,,
186068,OIE,39.110000,16.100000,Europe,Italy,Calabria,San Pietro in amantea,Centroid Admin2,19/05/2014,29/05/2014,Confirmed,Bluetongue,null,"domestic, cattle",74,1,0,0,,,
187133,OIE,37.180000,22.360000,Europe,Greece,Peloponnisos,LAKONIA 8,Unknown,29/05/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep",250,1,0,0,0,,
187132,OIE,37.250000,22.510000,Europe,Greece,Peloponnisos,LAKONIA 6,Unknown,29/05/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",585,2,1,0,0,,
187131,OIE,36.950000,22.450000,Europe,Greece,Peloponnisos,LAKONIA 5,Unknown,29/05/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep",50,10,3,0,0,,
187130,OIE,36.960000,22.440000,Europe,Greece,Peloponnisos,LAKONIA 4,Unknown,29/05/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep",53,13,1,0,0,,
187129,OIE,36.930000,22.480000,Europe,Greece,Peloponnisos,LAKONIA 2,Unknown,29/05/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",175,3,1,0,0,,
187128,OIE,37.180000,22.310000,Europe,Greece,Peloponnisos,LAKONIA 7,Unknown,29/05/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep",73,4,0,0,0,,
187127,OIE,36.950000,22.460000,Europe,Greece,Peloponnisos,LAKONIA 3,Unknown,29/05/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, goat, domestic, sheep",200,10,3,0,0,,
186094,OIE,36.940000,22.450000,Europe,Greece,Peloponnisos,LAKONIA 1,Unknown,29/05/2014,30/05/2014,Confirmed,Bluetongue,4,"domestic, goat, domestic, sheep",68,4,1,0,0,,
187887,OIE,37.119700,22.243100,Europe,Greece,Peloponnisos,MESSINIA 12,Unknown,02/06/2014,25/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",53,6,0,0,0,,
187643,OIE,42.251540,12.347870,Europe,Italy,Lazio,Nepi,Centroid Admin2,03/06/2014,18/07/2014,Confirmed,Bluetongue,1,"domestic, cattle",5,5,0,0,,,
187544,OIE,37.182800,22.346100,Europe,Greece,Peloponnisos,LAKONIA 50,Unknown,03/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, cattle",360,1,0,0,0,,
187541,OIE,37.182800,22.346100,Europe,Greece,Peloponnisos,LAKONIA 49,Unknown,03/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, cattle",152,1,0,0,0,,
187148,OIE,37.190000,22.320000,Europe,Greece,Peloponnisos,LAKONIA 11,Unknown,03/06/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep",255,5,0,0,0,,
187138,OIE,37.190000,22.340000,Europe,Greece,Peloponnisos,LAKONIA 13,Unknown,03/06/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",249,25,3,0,0,,
187137,OIE,37.170000,22.330000,Europe,Greece,Peloponnisos,LAKONIA 14,Unknown,03/06/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep",25,5,4,0,0,,
187136,OIE,37.170000,22.330000,Europe,Greece,Peloponnisos,LAKONIA 10,Unknown,03/06/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",33,6,0,0,0,,
187135,OIE,37.180000,22.340000,Europe,Greece,Peloponnisos,LAKONIA 9,Unknown,03/06/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep",196,2,0,0,0,,
187134,OIE,37.190000,22.365000,Europe,Greece,Peloponnisos,LAKONIA 12,Unknown,03/06/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",152,5,0,0,0,,
187287,OIE,37.052800,22.294400,Europe,Greece,Peloponnisos,LAKONIA 22,Unknown,04/06/2014,01/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",250,4,0,0,0,,
187286,OIE,37.034700,22.418100,Europe,Greece,Peloponnisos,LAKONIA 24,Unknown,04/06/2014,01/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",462,10,3,0,0,,
187285,OIE,36.960000,22.440000,Europe,Greece,Peloponnisos,LAKONIA 23,Unknown,04/06/2014,01/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",85,4,0,0,0,,
187147,OIE,37.280000,22.370000,Europe,Greece,Peloponnisos,ARKADIA 2,Unknown,04/06/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",100,6,0,0,0,,
187146,OIE,37.250000,22.470000,Europe,Greece,Peloponnisos,ARKADIA 1,Unknown,04/06/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep",95,4,0,0,0,,
187145,OIE,36.940000,22.440000,Europe,Greece,Peloponnisos,LAKONIA 21,Unknown,04/06/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep",54,7,0,0,0,,
187144,OIE,37.030000,22.460000,Europe,Greece,Peloponnisos,LAKONIA 17,Unknown,04/06/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep",160,2,0,0,0,,
187143,OIE,37.208000,22.370000,Europe,Greece,Peloponnisos,LAKONIA 16,Unknown,04/06/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep",187,9,0,0,0,,
187142,OIE,37.230000,22.320000,Europe,Greece,Peloponnisos,LAKONIA 15,Unknown,04/06/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep",169,2,0,0,0,,
187141,OIE,37.050000,22.440000,Europe,Greece,Peloponnisos,LAKONIA 19,Unknown,04/06/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep",205,3,2,0,0,,
187140,OIE,36.940000,22.440000,Europe,Greece,Peloponnisos,LAKONIA 20,Unknown,04/06/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",115,2,0,0,0,,
187139,OIE,36.970000,22.480000,Europe,Greece,Peloponnisos,LAKONIA 18,Unknown,04/06/2014,18/06/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",675,12,1,0,0,,
187309,OIE,37.487200,22.413900,Europe,Greece,Peloponnisos,ARKADIA 5,Unknown,06/06/2014,01/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",418,4,1,0,0,,
187289,OIE,37.460800,22.454200,Europe,Greece,Peloponnisos,ARKADIA 4,Unknown,06/06/2014,01/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",150,2,0,0,0,,
187288,OIE,37.052800,22.328600,Europe,Greece,Peloponnisos,ARKADIA 3,Unknown,06/06/2014,01/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",165,5,1,0,0,,
187584,OIE,36.936700,22.201700,Europe,Greece,Peloponnisos,MESSINIA 9,Unknown,08/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",100,2,2,0,0,,
187580,OIE,36.939700,22.203100,Europe,Greece,Peloponnisos,MESSINIA 8,Unknown,08/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",150,1,0,0,0,,
187585,OIE,36.938900,22.194200,Europe,Greece,Peloponnisos,MESSINIA 10,Unknown,10/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",18,1,0,0,0,,
187583,OIE,37.141100,22.064700,Europe,Greece,Peloponnisos,MESSINIA 11,Unknown,10/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",18,1,0,0,0,,
187294,OIE,37.023900,22.272200,Europe,Greece,Peloponnisos,MESSINIA 2,Unknown,10/06/2014,01/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",225,5,1,0,0,,
187293,OIE,36.960300,22.194700,Europe,Greece,Peloponnisos,MESSINIA 3,Unknown,10/06/2014,01/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",58,1,1,0,0,,
187292,OIE,37.016400,22.216400,Europe,Greece,Peloponnisos,MESSINIA 1,Unknown,10/06/2014,01/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",58,1,1,0,0,,
187291,OIE,37.335800,22.538100,Europe,Greece,Peloponnisos,ARKADIA 7,Unknown,10/06/2014,01/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",180,2,0,0,0,,
187290,OIE,37.453900,22.367500,Europe,Greece,Peloponnisos,ARKADIA 6,Unknown,10/06/2014,01/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",157,4,0,0,0,,
187888,OIE,36.824700,22.287800,Europe,Greece,Peloponnisos,MESSINIA 13,Unknown,11/06/2014,25/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",35,5,0,0,0,,
187552,OIE,37.160300,22.324700,Europe,Greece,Peloponnisos,LAKONIA 31,Unknown,11/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",130,9,0,0,0,,
187551,OIE,37.179400,22.346700,Europe,Greece,Peloponnisos,LAKONIA 28,Unknown,11/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",83,6,1,0,0,,
187550,OIE,37.161100,22.504700,Europe,Greece,Peloponnisos,LAKONIA 26,Unknown,11/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",103,4,0,0,0,,
187549,OIE,37.267800,22.253300,Europe,Greece,Peloponnisos,LAKONIA 29,Unknown,11/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",166,5,0,0,0,,
187548,OIE,37.161400,22.504700,Europe,Greece,Peloponnisos,LAKONIA 27,Unknown,11/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",123,4,0,0,0,,
187547,OIE,37.161100,22.504400,Europe,Greece,Peloponnisos,LAKONIA 25,Unknown,11/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",30,4,0,0,0,,
187546,OIE,37.032500,22.194400,Europe,Greece,Peloponnisos,MESSINIA 4,Unknown,11/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",290,4,0,0,0,,
187545,OIE,37.236700,22.294200,Europe,Greece,Peloponnisos,LAKONIA 30,Unknown,11/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",190,3,0,0,0,,
187298,OIE,37.488600,22.086400,Europe,Greece,Peloponnisos,ARKADIA 11,Unknown,11/06/2014,01/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",13,1,0,0,0,,
187297,OIE,37.337800,22.152200,Europe,Greece,Peloponnisos,ARKADIA 8,Unknown,11/06/2014,01/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",305,1,0,0,0,,
187296,OIE,37.377200,22.229200,Europe,Greece,Peloponnisos,ARKADIA 10,Unknown,11/06/2014,01/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",84,3,1,0,0,,
187295,OIE,37.359400,22.280300,Europe,Greece,Peloponnisos,ARKADIA 9,Unknown,11/06/2014,01/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",33,4,1,0,0,,
187889,OIE,37.220800,22.023300,Europe,Greece,Peloponnisos,MESSINIA 21,Unknown,12/06/2014,25/07/2014,Confirmed,Bluetongue,4,"domestic, goat/sheep ",32,2,0,0,0,,
187596,OIE,37.557500,22.261100,Europe,Greece,Peloponnisos,ARKADIA 12,Unknown,12/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",128,1,0,0,0,,
187589,OIE,37.444400,22.446100,Europe,Greece,Peloponnisos,ARKADIA 15,Unknown,12/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",76,2,0,0,0,,
187588,OIE,37.557500,22.261100,Europe,Greece,Peloponnisos,ARKADIA 14,Unknown,12/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",85,1,0,0,0,,
187587,OIE,37.557200,22.259400,Europe,Greece,Peloponnisos,ARKADIA 13,Unknown,12/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",98,2,1,0,0,,
187579,OIE,36.998900,22.428600,Europe,Greece,Peloponnisos,LAKONIA 43,Unknown,12/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",202,2,0,0,0,,
187559,OIE,36.895300,22.451700,Europe,Greece,Peloponnisos,LAKONIA 41,Unknown,12/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",202,2,0,0,0,,
187558,OIE,37.076100,22.380600,Europe,Greece,Peloponnisos,LAKONIA 34,Unknown,12/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",78,1,0,0,0,,
187557,OIE,36.959400,22.460800,Europe,Greece,Peloponnisos,LAKONIA 32,Unknown,12/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",64,3,0,0,0,,
187556,OIE,37.176400,22.338600,Europe,Greece,Peloponnisos,LAKONIA 42,Unknown,12/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",125,4,0,0,0,,
187555,OIE,36.947500,22.513900,Europe,Greece,Peloponnisos,LAKONIA 44,Unknown,12/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",101,10,1,0,0,,
187554,OIE,36.758600,22.511900,Europe,Greece,Peloponnisos,LAKONIA 35,Unknown,12/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",14,3,1,0,0,,
187553,OIE,37.160300,22.530300,Europe,Greece,Peloponnisos,LAKONIA 33,Unknown,12/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",120,2,0,0,0,,
187891,OIE,36.970000,22.231400,Europe,Greece,Peloponnisos,MESSINIA 19,Unknown,13/06/2014,25/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",35,1,0,0,0,,
187890,OIE,37.150600,22.141900,Europe,Greece,Peloponnisos,MESSINIA 18,Unknown,13/06/2014,25/07/2014,Confirmed,Bluetongue,4,"domestic, goat/sheep ",200,2,0,0,0,,
187597,OIE,37.486100,22.116700,Europe,Greece,Peloponnisos,ARKADIA 16,Unknown,13/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",329,2,0,0,0,,
187595,OIE,37.369700,22.255000,Europe,Greece,Peloponnisos,ARKADIA 19,Unknown,13/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",83,1,0,0,0,,
187594,OIE,37.449400,22.241400,Europe,Greece,Peloponnisos,ARKADIA 17,Unknown,13/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",158,1,0,0,0,,
187565,OIE,36.879200,22.253300,Europe,Greece,Peloponnisos,MESSINIA 5,Unknown,13/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",100,5,0,0,0,,
187564,OIE,37.020600,22.437200,Europe,Greece,Peloponnisos,LAKONIA 39,Unknown,13/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",65,2,0,0,0,,
187563,OIE,37.023600,22.463600,Europe,Greece,Peloponnisos,LAKONIA 38,Unknown,13/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",29,4,0,0,0,,
187562,OIE,37.205000,22.346700,Europe,Greece,Peloponnisos,LAKONIA 36,Unknown,13/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",340,6,0,0,0,,
187561,OIE,37.043100,22.424200,Europe,Greece,Peloponnisos,LAKONIA 37,Unknown,13/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",9,3,0,0,0,,
187560,OIE,37.015600,22.453600,Europe,Greece,Peloponnisos,LAKONIA 40,Unknown,13/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",288,6,0,0,0,,
187567,OIE,37.122200,21.968600,Europe,Greece,Peloponnisos,MESSINIA6,Unknown,14/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",47,1,0,0,0,,
