"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,114,"JPN","Japan",1,"Aichi",1,"Agui","",NA,"","Machi","Town","<U+963F><U+4E45><U+6BD4><U+753A>",""
2,114,"JPN","Japan",1,"Aichi",2,"Aisai","",NA,"","Shi","City","<U+611B><U+897F><U+5E02>",""
3,114,"JPN","Japan",1,"Aichi",3,"Anjo","",NA,"","Shi","City","<U+5B89><U+57CE><U+5E02>",""
4,114,"JPN","Japan",1,"Aichi",4,"Obu","",NA,"","Shi","City","<U+5927><U+5E9C><U+5E02>",""
5,114,"JPN","Japan",1,"Aichi",5,"Oguchi","",NA,"","Machi","Town","<U+5927><U+53E3><U+753A>",""
6,114,"JPN","Japan",1,"Aichi",6,"Oharu","",NA,"","Machi","Town","<U+5927><U+6CBB><U+753A>",""
7,114,"JPN","Japan",1,"Aichi",7,"Chiryu","",NA,"","Shi","City","<U+77E5><U+7ACB><U+5E02>",""
8,114,"JPN","Japan",1,"Aichi",8,"Chita","JP.AI.CG",NA,"","Shi","City","<U+77E5><U+591A><U+5E02>",""
9,114,"JPN","Japan",1,"Aichi",9,"Fuso","",NA,"","Machi","Town","<U+6276><U+6851><U+753A>",""
10,114,"JPN","Japan",1,"Aichi",10,"Gamagori","",NA,"","Shi","City","<U+84B2><U+90E1><U+5E02>",""
11,114,"JPN","Japan",1,"Aichi",11,"Handa","JP.AI.HD",NA,"","Shi","City","<U+534A><U+7530><U+5E02>",""
12,114,"JPN","Japan",1,"Aichi",12,"Haruhi","JP.AI.HG",NA,"","Machi","Town","<U+6625><U+65E5><U+753A>",""
13,114,"JPN","Japan",1,"Aichi",13,"Hazu","JP.AI.HZ",NA,"","Machi","Town","<U+5E61><U+8C46><U+753A>",""
